step,ver2_2_replicate3 - loss,ver2_2_replicate2 - loss,ver2_2_replicate1 - loss
0,0.002777577377855778,0.001966871321201324,0.002471202053129673
1,0.001271278248168528,0.001341368653811514,0.001619240152649581
2,0.001154557452537119,0.001267268904484808,0.001426135888323188
3,0.001113198697566986,0.001229450688697398,0.00131640478502959
4,0.001081247813999653,0.001199233229272068,0.001238767639733851
5,0.001058846130035818,0.001173040131106973,0.001184085267595947
6,0.001037596026435494,0.001153151504695415,0.001141732325777411
7,0.001020452938973904,0.001132653094828129,0.001108952448703349
8,0.001006739563308656,0.001113205566070974,0.001081645488739014
9,0.0009921010350808501,0.001095091109164059,0.001061660819686949
10,0.0009767317678779364,0.001082372502423823,0.001040765782818198
11,0.00096467777621001,0.001067073084414005,0.001025293255224824
12,0.0009555889992043376,0.001055264729075134,0.001010239124298096
13,0.0009455956751480699,0.001043519470840693,0.0009991467231884599
14,0.0009387218160554767,0.001032341853715479,0.0009872930822893977
15,0.0009294234332628548,0.001020711730234325,0.0009758127853274345
16,0.0009241392253898084,0.001012998167425394,0.0009652963490225375
17,0.0009142687194980681,0.001003547688014805,0.0009584957733750343
18,0.0009083077311515808,0.0009935800917446613,0.0009491013479419053
19,0.0009023732272908092,0.0009861266007646918,0.0009441376896575093
20,0.0008952543721534312,0.0009794306242838502,0.0009353600325994194
21,0.0008918662206269801,0.0009738063090480864,0.0009274437325075269
22,0.0008840907248668373,0.0009655203903093934,0.0009217322804033756
23,0.0008805083343759179,0.0009596196468919516,0.0009169887052848935
24,0.0008762552752159536,0.0009512047399766743,0.0009107642690651119
25,0.0008711137343198061,0.000947431311942637,0.0009055568370968103
26,0.000865376612637192,0.0009395494707860053,0.0009010290959849954
27,0.0008633978432044387,0.0009360432159155607,0.000896429643034935
28,0.0008587870397605002,0.0009308548178523779,0.000892364711035043
29,0.0008557253167964518,0.0009244301472790539,0.0008878527441993356
30,0.0008526694145984948,0.0009199667838402092,0.000880666368175298
31,0.0008470980101265013,0.0009148349054157734,0.0008817379712127149
32,0.0008433036273345351,0.0009096835274249315,0.0008752138237468898
33,0.0008413571631535888,0.0009052205132320523,0.0008714470313861966
34,0.0008382253581658006,0.0009018107666634023,0.0008685552747920156
35,0.0008365892572328448,0.000897774996701628,0.0008642746252007782
36,0.0008334763697348535,0.0008929143659770489,0.0008632847457192838
37,0.0008302143542096019,0.0008908708696253598,0.0008579397690482438
38,0.000827240408398211,0.00088624277850613,0.0008565104799345136
39,0.0008226224454119802,0.0008828950230963528,0.0008524640579707921
40,0.0008194041438400745,0.0008772125584073365,0.0008501047850586474
41,0.0008190587977878749,0.000876604754012078,0.0008472989429719746
42,0.0008164778701029718,0.0008730115951038897,0.0008437738288193941
43,0.0008148690103553236,0.0008683611522428691,0.000839722459204495
44,0.000813814636785537,0.0008646277710795403,0.0008377906633540988
45,0.000810524623375386,0.0008615724509581923,0.0008363468223251402
46,0.000808330369181931,0.0008600408909842372,0.0008338842308148742
47,0.0008032918558456004,0.0008570266072638333,0.0008318257750943303
48,0.0008042696281336248,0.0008547415491193533,0.0008290443220175803
49,0.0008007949800230563,0.0008508405881002545,0.0008272681734524667
